user_id,date,twitter_id,text,media,likes,retweets,related_hashtags,external_links,tweet_link
cinnamonjus,2020-07-11 19:07:47,1282028834204930055, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282028834204930055
VirusXpider,2020-07-11 18:31:14,1282019635597123587, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282019635597123587
SN3AKBO,2020-07-11 18:17:21,1282016141959979013, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282016141959979013
WizardofTruth_,2020-07-11 18:11:26,1282014653204307970, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282014653204307970
KittyCadabra,2020-07-11 18:04:27,1282012895820341249, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282012895820341249
stream_caster,2020-07-11 18:03:24,1282012630207672320, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282012630207672320
JusLovett,2020-07-11 18:03:19,1282012608057552896, @fabygrb I’m trying to reach 50 followers it would mean a lot to me if anyone could support  I’ll do the same ,,126,49,SupportSmallStreams ,,https://twitter.com/id/status/1282012608057552896
SalooriaBoy,2020-07-11 15:22:19,1281972093718949889, @charulkedarta Hes my dogie and Im इसकी इंसान  ,https://pbs.twimg.com/media/EcpaZJBU4AAFmun.jpg ,71,2,twitchblackout HimachalPradesh ,,https://twitter.com/id/status/1281972093718949889
ShijinSurya1,2020-07-11 13:42:21,1281946936229138434, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281946936229138434
InsightOffl,2020-07-11 13:31:10,1281944122866032640, @anthonykabil @Suriyaoffl Anbaavae irupom  Retweet please Today trending ,,3,13,SuriyaCDPCelebritiesList SuriyaBirthdayCDP Suriya ,,https://twitter.com/id/status/1281944122866032640
