user_id,date,twitter_id,text,hyperlinks,likes,retweets,related_hashtags,tweet_link
 Sparky91783238 , 2020-07-10 23:57:25 , 1281739335625310208 ,"❤️ this Tweet for a reminder to stream #UFC251 LIVE from Fight Island on 7/11, only on ESPN+ PPV #ESPNPlus #UFCFightIsland https://t.co/TikuZaPBIi", empty , 20732 , 2453 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739335625310208 
 Stake , 2020-07-10 23:57:19 , 1281739309570314240 ,"#UFC251 isn't too far away! We've gone ahead and looked through the card to find value for you guys on what promises to be a classic card!

👉 https://t.co/hz0hSumScZ https://t.co/tYhMQMWtod",https://pbs.twimg.com/media/EcmnHA-XoAIl13F.jpg , 9 , 5 ,UFC    , https://twitter.com/id/status/1281739309570314240 
 leo11249 , 2020-07-10 23:57:17 , 1281739300145520642 ,USMAN vs MASVIDAL! #UFC251 is LIVE TOMORROW on @espn+ PPV at 10pm ET #InAbuDhabi https://t.co/E8QcFSQ39m,https://video.twimg.com/ext_tw_video/1281613277311770624/pu/vid/640x360/wn6a5R6KsPE7TeEe.mp4?tag=10, 7659 , 1179 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739300145520642 
 hawkins_truth , 2020-07-10 23:57:15 , 1281739293627580416 ,"@BrendanSchaub @joerogan shit, @josealdojunior doesn’t look good!!! #UFC251 #ufc #UFCFightIsland", empty , 0 , 0 ,UFC    ufc UFCFightIsland , https://twitter.com/id/status/1281739293627580416 
 Jennings_Ben , 2020-07-10 23:57:13 , 1281739283905355776 ,"Battling uncertainty during a global pandemic, @TheRock applauds the UFC and its fighters' for their mentality that ""the show must always on."" #UFC251 https://t.co/GjUIJbD5R3", empty , 564 , 66 , empty , https://twitter.com/id/status/1281739283905355776 
 pereida_raul7 , 2020-07-10 23:57:13 , 1281739283426971648 ,@pereida_raul7 You’re all set! We’ll send you a reminder on 7/11 to stream #UFC251 LIVE on ESPN+ #ESPNPlus #UFCFightIsland https://t.co/jLfQjoDKZL, empty , 1 , 1 ,UFC    ESPNPlus UFCFightIsland , https://twitter.com/id/status/1281739283426971648 
 ArjunSaraiMedia , 2020-07-10 23:57:03 , 1281739243094790144 ,"You don't want to miss ANY of the action tomorrow!! 🔥

Order #UFC251 ➡️ https://t.co/05E97fg9UG

#InAbuDhabi @VisitAbuDhabi https://t.co/7ZZfjEGhgf", empty , 13 , 4 ,UFC    InAbuDhabi , https://twitter.com/id/status/1281739243094790144 
 ryoryo1109k , 2020-07-10 23:57:02 , 1281739239827181569 ,"We 𝒎𝒊𝒈𝒉𝒕 not need the judges for this one…😳

🇨🇭 @Volkan_Oezdemir welcomes the debuting 🇨🇿 @Jiri_BJP to the Octagon to close the #UFC251 prelims!

#InAbuDhabi | @VisitAbuDhabi https://t.co/7kuPLrhx3O", empty , 239 , 41 , empty , https://twitter.com/id/status/1281739239827181569 
 chino_att , 2020-07-10 23:57:01 , 1281739233871437824 ,"What a wild week for the BMF... 😅

#InAbuDhabi | @VisitAbuDhabi | #UFC251 https://t.co/rCp81Sohgw",https://pbs.twimg.com/media/EcknpEGWAAEC4TT.png https://pbs.twimg.com/media/Ecknp37XkAIc5OJ.jpg , 8403 , 818 ,InAbuDhabi UFC    , https://twitter.com/id/status/1281739233871437824 
 LKA_Squaddy , 2020-07-10 23:57:00 , 1281739227760230400 ,"With experience on some of entertainment's biggest stages, @TheRock's advice to @GamebredFighter: ""Quiet the noise"" and ""do exactly what he was born to do."" #UFC251 https://t.co/mvUpQBDTPX", empty , 727 , 78 , empty , https://twitter.com/id/status/1281739227760230400 
